Collection Year,MSA/MD,State,County,Census Tract,FFIEC Median Family Income,Population,Minority Population %,Number of Owner Occupied Units,Number of 1 to 4 Family Units,Tract MFI,Tract to MSA Income %,Median Age,Small County
1995,0040,48,441,010100,007.7500,03245111,509500,,,,000395,,0
1995,0040,48,441,010200,033.6400,01867606,273500,,,,000920,,0
1995,0040,48,441,010300,035.1900,02105107,183300,,,,000645,,0
1995,0040,48,441,010400,070.0200,01825006,234500,,,,001642,,0
1995,0040,48,441,010500,029.7000,02944010,347500,,,,001032,,0
1995,0040,48,441,010600,016.4500,03872013,383700,,,,000631,,0
1995,0040,48,441,010700,049.3800,02184507,363300,,,,001794,,0
1995,0040,48,441,010800,058.0700,01738605,267800,,,,001555,,0
1995,0040,48,441,010900,024.1200,03800412,505700,,,,001220,,0
1995,0040,48,441,011000,059.2900,01331504,092600,,,,000549,,0
1995,0040,48,441,011100,040.4600,01928606,039300,,,,000159,,0
1995,0040,48,441,011200,034.5200,02121507,275800,,,,000952,,0
1995,0040,48,441,011300,030.7300,02592308,398900,,,,001226,,0
1995,0040,48,441,011400,018.0600,02898609,498900,,,,000901,,0
1995,0040,48,441,011500,015.6800,02883209,289600,,,,000454,,0
1995,0040,48,441,011600,014.2900,02704209,270100,,,,000386,,0
1995,0040,48,441,011700,031.3900,01707005,142100,,,,000446,,0
1995,0040,48,441,011800,044.9200,01585505,061000,,,,000274,,0
1995,0040,48,441,011900,037.7800,01555605,227100,,,,000858,,0
1995,0040,48,441,012000,010.7000,05926320,195400,,,,000209,,0
1995,0040,48,441,012100,024.2600,00000000,081200,,,,000197,,0
1995,0040,48,441,012200,027.3300,02163307,281000,,,,000768,,0
1995,0040,48,441,012300,014.8800,02405208,430200,,,,000640,,0
1995,0040,48,441,012400,008.0100,03319411,257200,,,,000206,,0
1995,0040,48,441,012500,005.9100,04204414,350400,,,,000207,,0
1995,0040,48,441,012600,002.5500,05995520,318100,,,,000081,,0
1995,0040,48,441,012700,006.6100,05183817,749200,,,,000495,,0
1995,0040,48,441,012800,017.8100,02427908,566600,,,,001009,,0
1995,0040,48,441,012900,031.0500,02166707,380300,,,,001181,,0
1995,0040,48,441,013000,029.6000,00000000,116200,,,,000344,,0
1995,0040,48,441,013100,038.0500,02287307,597400,,,,002273,,0
1995,0040,48,441,013200,013.9800,02670009,163100,,,,000228,,0
1995,0040,48,441,013300,019.5200,02319007,198300,,,,000387,,0
1995,0040,48,441,013400,012.2700,03394511,978700,,,,001201,,0
1995,0040,48,441,013500,005.3700,03019110,435500,,,,000234,,0
1995,0040,48,441,013600,010.1700,02564208,502500,,,,000511,,0
1995,0060,72,003,430198,000.0000,00892910,407200,,,,000000,,0
1995,0060,72,003,430200,000.0000,00876910,522100,,,,000000,,0
1995,0060,72,003,430300,000.0000,00844410,336400,,,,000000,,0
1995,0060,72,003,430400,000.0000,00779609,910600,,,,000000,,0
1995,0060,72,003,430500,000.0000,00825510,799800,,,,000000,,0
1995,0060,72,003,430600,000.0000,00795609,615000,,,,000000,,0
1995,0060,72,003,430798,000.0000,00000000,000000,,,,000000,,0
1995,0060,72,005,400100,000.0000,00730008,493300,,,,000000,,0
1995,0060,72,005,400200,000.0000,01404817,146300,,,,000000,,0
1995,0060,72,005,400300,000.0000,02342128,297800,,,,000000,,0
1995,0060,72,005,400400,000.0000,00806509,450300,,,,000000,,0
1995,0060,72,005,400500,000.0000,00751409,690000,,,,000000,,0
1995,0060,72,005,400600,000.0000,01067612,377500,,,,000000,,0
1995,0060,72,005,400700,000.0000,00778809,355300,,,,000000,,0
1995,0060,72,005,400800,000.0000,00494405,333300,,,,000000,,0
1995,0060,72,005,400900,000.0000,00545906,292700,,,,000000,,0
1995,0060,72,005,401000,000.0000,00586207,220100,,,,000000,,0
1995,0060,72,005,401100,000.0000,00868010,255800,,,,000000,,0
1995,0060,72,005,401298,000.0000,00811409,370900,,,,000000,,0
1995,0060,72,005,401300,000.0000,00748509,922700,,,,000000,,0
1995,0060,72,005,401400,000.0000,00970011,722800,,,,000000,,0
1995,0060,72,005,401598,000.0000,00000000,000000,,,,000000,,0
1995,0060,72,005,420698,000.0000,00835710,004700,,,,000000,,0
1995,0060,72,099,420198,000.0000,00763709,649600,,,,000000,,0
1995,0060,72,099,420298,000.0000,01075513,636500,,,,000000,,0
1995,0060,72,099,420300,000.0000,00819509,784900,,,,000000,,0
1995,0060,72,099,420400,000.0000,00906710,641400,,,,000000,,0
1995,0060,72,099,420500,000.0000,00842210,580200,,,,000000,,0
1995,0060,72,099,420697,000.0000,00000000,000000,,,,000000,,0
1995,0060,72,099,420698,000.0000,00000000,000000,,,,000000,,0
1995,0080,39,133,600198,001.7600,03471009,801000,,,,000141,,0
1995,0080,39,133,600200,000.9800,03694410,558900,,,,000055,,0
1995,0080,39,133,600301,002.3500,04198711,451700,,,,000106,,0
