msa_md,msa_md_name,state
"Montgomery-Alexander City, AL",33860,AL
"Birmingham-Hoover-Cullman, AL",13820,AL
"Anniston-Oxford, AL",11500,AL
"Florence-Muscle Shoals, AL",22520,AL
"Gadsden, AL",23460,AL
"Dothan-Enterprise-Ozark, AL",20020,AL
"Tuscaloosa, AL",46220,AL
"Huntsville-Decatur, AL",19460,AL
"Columbus-Auburn-Opelika, GA-AL",12220,AL
"Huntsville-Decatur, AL",26620,AL
"Mobile-Daphne-Fairhope, AL",33660,AL
"Columbus-Auburn-Opelika, GA-AL",17980,AL
"Anchorage, AK",11260,AK
"Fairbanks, AK",21820,AK
"Flagstaff, AZ",22380,AZ
"Phoenix-Mesa-Glendale, AZ",38060,AZ
"Lake Havasu City-Kingman, AZ",29420,AZ
"Tucson, AZ",46060,AZ
"Prescott, AZ",39140,AZ
"Yuma, AZ",49740,AZ
"Fayetteville-Springdale-Rogers, AR-MO",22220,AR
"Little Rock-North Little Rock-Pine Bluff, AR",38220,AR
"Jonesboro-Paragould, AR",27860,AR
"Fort Smith, AR-OK",22900,AR
"Memphis, TN-MS-AR",32820,AR
"Little Rock-North Little Rock-Pine Bluff, AR",30780,AR
"Hot Springs, AR",26300,AR
"Texarkana, TX-Texarkana, AR",45500,AR
"Oakland-Fremont-Hayward, CA",36084,CA
"Chico, CA",17020,CA
"Sacramento--Arden-Arcade--Yuba City, CA-NV",40900,CA
"Fresno-Madera, CA",23420,CA
"El Centro, CA",20940,CA
"Bakersfield-Delano, CA",12540,CA
"Hanford-Corcoran, CA",25260,CA
"Los Angeles-Long Beach-Glendale, CA",31084,CA
"Fresno-Madera, CA",31460,CA
"San Francisco-San Mateo-Redwood City, CA",41884,CA
"Merced, CA",32900,CA
"Salinas, CA",41500,CA
"San Jose-San Francisco-Oakland, CA",34900,CA
"Santa Ana-Anaheim-Irvine, CA",42044,CA
"Los Angeles-Long Beach-Riverside, CA",40140,CA
"San Jose-San Francisco-Oakland, CA",41940,CA
"San Diego-Carlsbad-San Marcos, CA",41740,CA
"Stockton, CA",44700,CA
"San Luis Obispo-Paso Robles, CA",42020,CA
"Santa Barbara-Santa Maria-Goleta, CA",42060,CA
"San Jose-San Francisco-Oakland, CA",42100,CA
"Redding, CA",39820,CA
"San Jose-San Francisco-Oakland, CA",46700,CA
"San Jose-San Francisco-Oakland, CA",42220,CA
"Modesto, CA",33700,CA
"Sacramento--Arden-Arcade--Yuba City, CA-NV",49700,CA
"Visalia-Porterville, CA",47300,CA
"Los Angeles-Long Beach-Riverside, CA",37100,CA
"Denver-Aurora-Boulder, CO",19740,CO
"Denver-Aurora-Boulder, CO",14500,CO
"Colorado Springs, CO",17820,CO
"Fort Collins-Loveland, CO",22660,CO
"Grand Junction, CO",24300,CO
"Pueblo, CO",39380,CO
"Denver-Aurora-Boulder, CO",24540,CO
"New York-Newark-Bridgeport, NY-NJ-CT-PA",14860,CT
"Hartford-West Hartford-Willimantic, CT",25540,CT
"New York-Newark-Bridgeport, NY-NJ-CT-PA",35300,CT
"Norwich-New London, CT",35980,CT
"Dover, DE",20100,DE
"Wilmington, DE-MD-NJ",48864,DE
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47894,DC
"Gainesville, FL",23540,FL
"Jacksonville, FL",27260,FL
"Panama City-Lynn Haven-Panama City Beach, FL",37460,FL
"Palm Bay-Melbourne-Titusville, FL",37340,FL
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",22744,FL
"Sarasota-Bradenton-Punta Gorda, FL",39460,FL
"Naples-Marco Island, FL",34940,FL
"Pensacola-Ferry Pass-Brent, FL",37860,FL
"Orlando-Deltona-Daytona Beach, FL",37380,FL
"Tallahassee, FL",45220,FL
"Tampa-St. Petersburg-Clearwater, FL",45300,FL
"Port St. Lucie-Sebastian-Vero Beach, FL",42680,FL
"Orlando-Deltona-Daytona Beach, FL",36740,FL
"Cape Coral-Fort Myers, FL",15980,FL
"Sarasota-Bradenton-Punta Gorda, FL",35840,FL
"Ocala, FL",36100,FL
"Port St. Lucie-Sebastian-Vero Beach, FL",38940,FL
"Miami-Miami Beach-Kendall, FL",33124,FL
"Crestview-Fort Walton Beach-Destin, FL",18880,FL
"West Palm Beach-Boca Raton-Boynton Beach, FL",48424,FL
"Lakeland-Winter Haven, FL",29460,FL
"Orlando-Deltona-Daytona Beach, FL",19660,FL
"Albany, GA",10500,GA
"Atlanta-Sandy Springs-Gainesville, GA-AL",12060,GA
"Macon-Warner Robins-Fort Valley, GA",31420,GA
"Brunswick, GA",15260,GA
"Valdosta, GA",46660,GA
"Savannah-Hinesville-Fort Stewart, GA",42340,GA
"Augusta-Richmond County, GA-SC",12260,GA
"Chattanooga-Cleveland-Athens, TN-GA",16860,GA
"Columbus-Auburn-Opelika, GA-AL",17980,GA
"Athens-Clarke County, GA",12020,GA
"Rome, GA",40660,GA
"Atlanta-Sandy Springs-Gainesville, GA-AL",23580,GA
"Macon-Warner Robins-Fort Valley, GA",47580,GA
"Savannah-Hinesville-Fort Stewart, GA",25980,GA
"Dalton, GA",19140,GA
"Honolulu, HI",26180,HI
"Boise City-Nampa, ID",14260,ID
"Pocatello, ID",38540,ID
"Idaho Falls-Blackfoot, ID",26820,ID
"Logan, UT-ID",30860,ID
"Coeur d'Alene, ID",17660,ID
"Lewiston, ID-WA",30300,ID
"Cape Girardeau-Sikeston-Jackson, MO-IL",16020,IL
"St. Louis-St. Charles-Farmington, MO-IL",41180,IL
"Rockford-Freeport-Rochelle, IL",40420,IL
"Champaign-Urbana, IL",16580,IL
"Chicago-Joliet-Naperville, IL",16974,IL
"Davenport-Moline-Rock Island, IA-IL",19340,IL
"Chicago-Naperville-Michigan City, IL-IN-WI",28100,IL
"Lake County-Kenosha County, IL-WI",29404,IL
"Bloomington-Normal, IL",14060,IL
"Decatur, IL",19500,IL
"Peoria-Canton, IL",37900,IL
"Springfield, IL",44100,IL
"Danville, IL",19180,IL
"Fort Wayne-Huntington-Auburn, IN",23060,IN
"Indianapolis-Anderson-Columbus, IN",18020,IN
"Lafayette-Frankfort, IN",29140,IN
"Indianapolis-Anderson-Columbus, IN",26900,IN
"Louisville/Jefferson County--Elizabethtown--Scottsburg, KY-IN",31140,IN
"Terre Haute, IN",45460,IN
"Cincinnati-Middletown-Wilmington, OH-KY-IN",17140,IN
"Muncie, IN",34620,IN
"South Bend-Elkhart-Mishawaka, IN-MI",21140,IN
"Evansville, IN-KY",21780,IN
"Bloomington, IN",14020,IN
"Kokomo-Peru, IN",29020,IN
"Gary, IN",23844,IN
"Chicago-Naperville-Michigan City, IL-IN-WI",33140,IN
"Indianapolis-Anderson-Columbus, IN",11300,IN
"South Bend-Elkhart-Mishawaka, IN-MI",43780,IN
"Cedar Rapids, IA",16300,IA
"Waterloo-Cedar Falls, IA",47940,IA
"Des Moines-Newton-Pella, IA",19780,IA
"Dubuque, IA",20220,IA
"Omaha-Council Bluffs-Fremont, NE-IA",36540,IA
"Iowa City, IA",26980,IA
"Davenport-Moline-Rock Island, IA-IL",19340,IA
"Ames-Boone, IA",11180,IA
"Sioux City-Vermillion, IA-NE-SD",43580,IA
