msa_md|msa_md_name|state
Montgomery, AL|33860|AL
Mobile-Daphne-Fairhope, AL|19300|AL
Birmingham-Hoover-Talladega, AL|13820|AL
Anniston-Oxford-Jacksonville, AL|11500|AL
Florence-Muscle Shoals, AL|22520|AL
Gadsden, AL|23460|AL
Dothan-Enterprise-Ozark, AL|20020|AL
Tuscaloosa, AL|46220|AL
Huntsville-Decatur-Albertville, AL|19460|AL
Columbus-Auburn-Opelika, GA-AL|12220|AL
Huntsville-Decatur-Albertville, AL|26620|AL
Mobile-Daphne-Fairhope, AL|33660|AL
Columbus-Auburn-Opelika, GA-AL|17980|AL
Anchorage, AK|11260|AK
Fairbanks, AK|21820|AK
Sierra Vista-Douglas, AZ|43420|AZ
Flagstaff, AZ|22380|AZ
Phoenix-Mesa-Scottsdale, AZ|38060|AZ
Las Vegas-Henderson, NV-AZ|29420|AZ
Tucson-Nogales, AZ|46060|AZ
Prescott, AZ|39140|AZ
Yuma, AZ|49740|AZ
Fayetteville-Springdale-Rogers, AR-MO|22220|AR
Little Rock-North Little Rock, AR|38220|AR
Jonesboro-Paragould, AR|27860|AR
Fort Smith, AR-OK|22900|AR
Memphis-Forrest City, TN-MS-AR|32820|AR
Little Rock-North Little Rock, AR|30780|AR
Hot Springs-Malvern, AR|26300|AR
Texarkana, TX-AR|45500|AR
Oakland-Hayward-Berkeley, CA|36084|CA
Chico, CA|17020|CA
Sacramento-Roseville, CA|40900|CA
Fresno-Madera, CA|23420|CA
El Centro, CA|20940|CA
Bakersfield, CA|12540|CA
Visalia-Porterville-Hanford, CA|25260|CA
Los Angeles-Long Beach-Glendale, CA|31084|CA
Fresno-Madera, CA|31460|CA
San Rafael, CA|42034|CA
Modesto-Merced, CA|32900|CA
Salinas, CA|41500|CA
San Jose-San Francisco-Oakland, CA|34900|CA
Anaheim-Santa Ana-Irvine, CA|11244|CA
Los Angeles-Long Beach, CA|40140|CA
San Jose-San Francisco-Oakland, CA|41940|CA
San Diego-Carlsbad, CA|41740|CA
San Francisco-Redwood City-South San Francisco, CA|41884|CA
San Jose-San Francisco-Oakland, CA|44700|CA
San Luis Obispo-Paso Robles-Arroyo Grande, CA|42020|CA
Santa Maria-Santa Barbara, CA|42200|CA
San Jose-San Francisco-Oakland, CA|42100|CA
Redding-Red Bluff, CA|39820|CA
San Jose-San Francisco-Oakland, CA|46700|CA
San Jose-San Francisco-Oakland, CA|42220|CA
Modesto-Merced, CA|33700|CA
Sacramento-Roseville, CA|49700|CA
Visalia-Porterville-Hanford, CA|47300|CA
Los Angeles-Long Beach, CA|37100|CA
Denver-Aurora, CO|19740|CO
Denver-Aurora, CO|14500|CO
Colorado Springs, CO|17820|CO
Fort Collins, CO|22660|CO
Grand Junction, CO|24300|CO
Pueblo-Cañon City, CO|39380|CO
